time,open,high,low,close,tick_volume,spread,real_volume
1654156800,112200.0,113030.0,111525.0,111900.0,2325712,5,7002372
1654171200,111900.0,113210.0,111865.0,112905.0,1484473,5,5077770
1654185600,112905.0,112925.0,112490.0,112865.0,582113,5,2011182
1654243200,112230.0,112395.0,111535.0,111705.0,2382577,5,6955220
1654257600,111700.0,112035.0,111235.0,111525.0,1742785,5,5686538
1654272000,111525.0,111750.0,111385.0,111750.0,535767,5,1808122
1654502400,112565.0,112735.0,110740.0,111005.0,2033372,5,6297693
1654516800,111010.0,111100.0,110255.0,110495.0,1715360,5,5873498
1654531200,110495.0,110780.0,110370.0,110690.0,502436,5,1776284
1654588800,110190.0,110710.0,109620.0,110575.0,2635303,5,7902562
1654603200,110575.0,110695.0,110030.0,110480.0,1540408,5,5215236
1654617600,110480.0,110570.0,110110.0,110350.0,496479,5,1743823
1654675200,110125.0,110375.0,109175.0,109610.0,2269576,5,7036613
1654689600,109605.0,110110.0,108315.0,108530.0,1914776,5,6688065
1654704000,108535.0,108900.0,108215.0,108860.0,611324,5,2183518
1654761600,109175.0,109445.0,107355.0,108005.0,2951785,5,8848474
1654776000,108005.0,108400.0,107675.0,108000.0,1854539,5,6009819
1654790400,108000.0,108025.0,107160.0,107705.0,783280,5,2636017
1654848000,107850.0,108030.0,104685.0,105370.0,3160529,5,8559611
1654862400,105370.0,106250.0,105265.0,105930.0,2022314,5,6566953
1654876800,105930.0,106010.0,105410.0,105450.0,698088,5,2222783
1655107200,103600.0,104045.0,101760.0,102510.0,2823240,5,8210520
1655121600,102505.0,103470.0,102365.0,102830.0,2289866,5,7231935
1655136000,102825.0,103050.0,102055.0,102800.0,1018931,5,3093520
1655193600,103000.0,103400.0,101700.0,101985.0,3016610,5,8796868
1655208000,101985.0,102650.0,101505.0,101565.0,2249959,5,7079687
1655222400,101565.0,102230.0,101290.0,102070.0,817282,5,2692740
1655280000,104865.0,105985.0,104350.0,105375.0,2252293,5,6679434
1655294400,105380.0,106140.0,103920.0,105305.0,2779345,5,8301737
1655308800,105310.0,105835.0,104765.0,105140.0,890528,5,2721581
